UnixTimeStamp,Date(UTC),Gas Fee USD,volatility
1438214400,7/30/2015,0.0,
1438300800,7/31/2015,0.0,
1438387200,8/1/2015,0.0,
1438473600,8/2/2015,0.0,
1438560000,8/3/2015,0.0,
1438646400,8/4/2015,0.0,
1438732800,8/5/2015,0.0,
1438819200,8/6/2015,0.0,
1438905600,8/7/2015,1.6749751089899e-06,
1438992000,8/8/2015,2.6139799574109e-07,
1439078400,8/9/2015,3.518456754955201e-07,29.107826347417962
1439164800,8/10/2015,2.8672533489272004e-07,21.539047427974296
1439251200,8/11/2015,8.250914831172e-08,18.673717025135744
1439337600,8/12/2015,5.5612797376375e-07,27.89876399716561
1439424000,8/13/2015,4.7825658585956e-07,24.959327325025928
1439510400,8/14/2015,3.482198900154001e-07,22.79808901544641
1439596800,8/15/2015,2.5842039760232e-07,21.112824018156612
1439683200,8/16/2015,1.6568792783607006e-07,19.794838087906594
1439769600,8/17/2015,1.58579992014e-07,18.707149643971736
1439856000,8/18/2015,1.8607152812036006e-07,17.892866582769283
1439942400,8/19/2015,2.4517502093448e-07,17.260649204447738
1440028800,8/20/2015,1.4653743854548004e-07,16.632261741602345
1440115200,8/21/2015,1.1454250708944e-07,15.982592826290597
1440201600,8/22/2015,7.6844945287973e-07,18.547274221704434
1440288000,8/23/2015,9.91433017881e-08,20.29632642795471
1440374400,8/24/2015,1.145881702342e-07,19.70820456561141
1440460800,8/25/2015,8.942583267189e-08,19.124076749977977
1440547200,8/26/2015,7.015814623684e-08,18.58855870752794
1440633600,8/27/2015,6.701701391253999e-08,18.100179555592373
1440720000,8/28/2015,1.2074387953550002e-07,17.91656996517195
1440806400,8/29/2015,6.632908700712e-08,17.590969281812075
1440892800,8/30/2015,7.280525268324001e-08,17.213081978796293
1440979200,8/31/2015,7.887175411815e-08,16.85586009921301
1441065600,9/1/2015,7.650659203020002e-08,16.505111495714004
1441152000,9/2/2015,7.642431030729001e-08,16.178138906808435
1441238400,9/3/2015,6.936486916086e-08,15.864173242806128
1441324800,9/4/2015,7.464934963928e-08,15.582943437203625
1441411200,9/5/2015,7.503235778142e-08,15.307700159483245
1441497600,9/6/2015,7.16167641176e-08,15.042939274883441
1441584000,9/7/2015,6.645688318988002e-08,13.649747477303531
1441670400,9/8/2015,7.986714696753001e-08,13.619614422943288
1441756800,9/9/2015,6.507379731864e-08,13.619639499340334
1441843200,9/10/2015,6.33715628972e-08,12.917765617797816
1441929600,9/11/2015,5.4599526898840004e-08,10.912988852250445
1442016000,9/12/2015,6.430341056672001e-08,10.941417377846099
1442102400,9/13/2015,4.917471330448e-08,10.928610441338048
1442188800,9/14/2015,4.678197900159001e-08,10.896253409261355
1442275200,9/15/2015,4.999963540436e-08,10.812987647232267
1442361600,9/16/2015,1.0036670338620001e-07,11.114053243576452
1442448000,9/17/2015,4.951774958587e-08,11.350565925741593
1442534400,9/18/2015,4.73476791711e-08,11.291751300529228
1442620800,9/19/2015,4.5959298266860004e-08,11.169202362022295
1442707200,9/20/2015,4.973572468258e-08,11.150691719586302
1442793600,9/21/2015,4.60542422565e-08,8.705199969822536
1442880000,9/22/2015,4.63188973464e-08,5.1069481375379215
1442966400,9/23/2015,4.6559548841400016e-08,5.07150131947401
