,token,total_tvl
0,{'symbol': 'WETH'},3059938668.1938396
1,{'symbol': 'USDC'},503358791.83421534
2,{'symbol': 'SHIB'},14444202.281783037
3,{'symbol': 'FEI'},929621669.0066344
4,{'symbol': 'DAI'},146156213.38005805
5,{'symbol': 'WBTC'},248408728.38037
6,{'symbol': 'KISHU'},6395706.964814478
7,{'symbol': 'LEASH'},9432228.346056916
8,{'symbol': 'ELON'},15246611.056340616
9,{'symbol': 'UNI'},205372491.08751535
10,{'symbol': 'LINK'},106431666.48007885
11,{'symbol': 'AKITA'},8190684.752399342
12,{'symbol': 'MATIC'},21229990.489842173
13,{'symbol': 'TEND'},22750.11032685743
14,{'symbol': 'eRSDL'},24263279.7004208
15,{'symbol': 'FEG'},11343482.621560644
16,{'symbol': 'LUSD'},8259030.067470963
17,{'symbol': 'WDOGE'},68223836.19350138
18,{'symbol': 'MKR'},50261001.16873044
19,{'symbol': 'AAVE'},53157824.96337527
20,{'symbol': 'ETH2x-FLI'},29424361.67496196
21,{'symbol': 'CARDS'},40290979.595870435
22,{'symbol': 'DPI'},87330351.51030155
23,{'symbol': 'RAI'},58342198.50347261
24,{'symbol': 'HEX'},12470295.985380761
25,{'symbol': 'WOO'},12757292.806564191
26,{'symbol': 'GLCH'},2690863.25200672
27,{'symbol': '⚗️'},33044741.54933683
28,{'symbol': 'TEL'},2152264.683917502
29,{'symbol': 'FRAX'},41997697.06779747
30,{'symbol': 'ERN'},8817421.279163843
31,{'symbol': '10SET'},13904386.420533564
32,{'symbol': 'STAK'},2550338.8628456034
33,{'symbol': 'PAID'},4675685.762249648
34,{'symbol': 'CoShi'},1797113.9109368892
35,{'symbol': 'SHIH'},1166551.7699394769
36,{'symbol': 'POLS'},23883186.922873087
37,{'symbol': 'SAND'},18855564.00246344
38,{'symbol': 'PERP'},22903348.582562722
39,{'symbol': 'VSP'},8478496.008625623
40,{'symbol': 'CEL'},9973413.505464867
41,{'symbol': 'PUSSY'},1244511.8630559167
42,{'symbol': 'USDT'},513575840.1930112
43,{'symbol': 'TRU'},5484045.797582586
44,{'symbol': 'HOKK'},1883353.0869487284
45,{'symbol': 'SANSHU'},1439755.1979964883
46,{'symbol': 'renBTC'},36546178.6413548
47,{'symbol': 'VISR'},10074232.991251756
48,{'symbol': 'AMPL'},24317867.20643828
